"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"TC0X00000285.mm.2",3.38907479563528,3.56967659830887,3.96516457470675,3.6677741648526,3.91791353730365,3.99833857627402,3.89959821302934,3.53792791099538
"TC0X00000289.mm.2",3.05513338254497,3.0874751311342,3.49505870729678,3.07256745309522,3.31454894753167,3.53106285644698,3.4379170694546,3.21036974454996
"TC0700003086.mm.2",6.37956950333381,6.66912261065899,6.59207685962639,6.6749276778709,6.7562951196836,6.23089223241713,6.18613783477331,6.33227295917991
"TC1400000001.mm.2",3.00836204088982,3.01993427132558,3.79812740211063,3.58537866972243,3.47012286962561,3.49724915068793,3.37297349478231,3.40438201602532
"TC0Y00000050.mm.2",3.79839233776168,3.37919219204793,3.56975425920104,3.67027766535337,3.77409905731363,3.54785688176941,3.25543213667771,3.95144754506449
"TC0100000845.mm.2",3.90671757711008,4.13793733868904,4.50750322293957,4.24102227285832,3.8471337931834,3.8341403714907,4.11571015060027,4.29346480633845
"TC0Y00000379.mm.2",4.75940889753763,5.3924571205917,5.05806471590318,5.44298537462195,5.07395654207692,4.95774859204314,4.66173369450411,5.51932396948029
"TC0500002777.mm.2",4.80198342121088,4.4332644808366,5.07191164255851,4.93630877597936,4.81676078427181,4.83354696183606,4.53412336107683,5.15473607218949
"TC0Y00000565.mm.2",6.23293269040908,6.39941618317044,5.65312616621069,6.29283231005948,6.39517890932099,6.07866377775983,5.8251548635306,6.26143238440523
"TC1300000686.mm.2",5.31028138877288,5.65552973264965,5.0849267847113,5.86400557166259,6.07502436809486,5.67914543157292,5.48413867078157,5.65505628675529
"TC0X00003226.mm.2",3.29365548006043,3.24198386378138,4.22548542918986,3.80266086058099,3.71961143117515,3.48867925880979,4.04350096700437,3.34835494605442
"TC0X00001321.mm.2",3.4497179843292,3.47276383057854,3.12200704525897,3.60119806090889,3.17130605930024,3.85251444425817,3.03252676136292,3.56855010587813
"TC0500002779.mm.2",3.55518399262453,4.17565063395592,4.47025571620077,4.09478551150058,4.3467824745548,3.98109883576111,4.3489030863458,4.35453020814923
"TC0700004633.mm.2",9.52883983526186,10.2031090623169,10.2834735473407,10.5249743009128,10.0747933841614,9.77923945618486,10.5595140117809,10.9083761716758
"TC1200002438.mm.2",8.91185882028411,8.31629129291922,9.01507177938762,8.66392156378958,8.12638833533272,8.56795672854687,8.75047716645285,9.15093199035861
"TC1000002428.mm.2",6.14093308550396,6.17543533127469,6.56977216888442,6.51976001099618,6.43527366614656,6.05020778616715,5.70920958858347,6.13461097551131
"TC1000001957.mm.2",8.7722200352816,7.99849537766165,8.42591947181192,7.97842410055175,7.69028361332716,7.93382350971112,8.26891025695231,7.07884421777602
"TC0Y00000547.mm.2",4.20934482789897,3.43936078674391,3.76265068843999,3.88593603769501,3.56140668478988,3.83671857638999,3.94599554209561,4.30508779979778
"TC1100002194.mm.2",3.40894278935429,3.79679479247061,3.87381639653146,3.93722944078763,3.4818705126884,3.35282251242519,3.50989028506564,3.82764388811122
"TC1000000770.mm.2",5.94755448415684,6.36022361527676,6.06865275808096,6.48081902163752,6.68742511242448,6.05856473857369,6.03317435782148,6.45898903697506
"TC1700002767.mm.2",4.20733109179089,4.70356608613966,5.92628476827697,5.53630189632324,3.98695767149541,4.7928366020886,5.00451342993485,5.91477782716318
"TC1100003720.mm.2",3.87297820016963,4.41216939583662,4.18227137720926,4.18502283160471,4.854760666788,4.27317990707198,3.85303970149351,4.49143277843692
"TC0400004202.mm.2",3.63482155254159,3.42924978846562,3.32307385559087,3.33041398227606,3.6295301310649,3.20840817659717,3.63744527688521,3.23285433678456
