"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"Abhd3",4.64258315215413,4.65022526579622,6.62852268038122,6.23409742375596,4.0720845638302,4.16725444381099,4.60637993792528,4.30111407493684
"Smim3",5.77046009211527,5.37114303248936,6.40256408672901,6.57000296279559,5.30945737098889,5.56453589387717,6.8979329603701,6.18074441177493
"Wdr74",9.62957597804965,9.3082166353037,9.46214129899046,9.2322211803008,9.74040647346638,9.07645214580584,8.92052999540903,7.79466946955321
"Psat1",8.25484740696468,9.22517828376425,6.96787589800942,7.21752999175627,8.89324950674879,8.80116797232836,6.50559043447149,6.89824834885654
"Vps37c",7.30801260041877,7.58347497645026,8.49189079581177,8.64331387735429,6.70911126720274,7.85025787375517,8.44369202529224,8.9621846257899
"AW112010",5.88582333526488,5.78122494724012,9.75956669253314,9.13073202292354,5.32438463447999,5.44246850587606,9.54375682262226,9.16328212182486
"Il1rl2",4.11662307613365,4.73279471551606,7.84862406516254,8.06919399782316,3.87190738903957,3.84377463804554,5.92490150342362,4.59755771170306
"Arl2bp",7.47184740455396,7.93236214701954,7.0935007206504,7.20916593681514,8.135613635714,7.76109489523408,6.9840283378887,6.53539707465463
"Wwp1",11.0666127375071,10.479133237029,8.42328277237033,7.89237977706864,10.5167378865536,10.8072321195997,8.81130533312098,8.77861731987962
"Nt5c3",6.15603832503064,6.13667317403164,8.29482955072575,8.20945294192025,5.93007954340294,6.03496210677177,7.55576605214234,7.87418602885123
"Nod1",5.87843349280741,5.2578796395786,8.13078352871942,7.73934195984631,5.66560465291384,5.80122222534171,7.80870234530208,8.04070897137393
"Snrpd2",9.96361886155585,9.85569468033399,9.10748313399741,8.79813956041461,10.3035408203578,9.58924538286913,9.28973483389896,8.28951674184104
"Tm6sf1",11.1257653305624,10.7576821843694,9.96960818307661,9.8553181809343,10.8984605885383,10.9691548118333,9.94918050223957,9.94931066578866
"Bmyc",7.22263236637817,7.72618919695862,5.49368427210456,5.91776415731912,6.39403770297644,6.8147962777476,4.57198127881847,5.37335662304163
"Cdc20",6.29698261467562,7.50695739056372,3.98441117839788,3.82134944028043,6.58859018298536,6.4085815812956,3.81710789992453,4.10322954775122
"Cenpf",6.54687178788769,7.1367723045633,5.21022492815189,5.35669211074494,7.61668865737951,6.61742230405692,4.49903816972517,5.41967795405878
"Ap1s2",8.7420943979495,8.90972535027011,7.09447765627346,7.282163631747,8.90685758199503,9.09702230458672,8.02577510940356,7.98695789435788
"Shmt2",7.78292614112944,8.54639547124954,6.42258318629152,6.58777957603411,8.12721324384295,8.14350760307057,6.20574536901162,5.18829233107367
"Olr1",3.69307730194047,3.74675556402392,4.77462099994826,5.13721830370821,3.50683303332775,4.03237232390856,5.28791441273855,4.15305453542764
"Prkag2",7.25614032622263,7.07740526680949,6.13836487096624,6.1128208452661,7.11027217180436,7.19456034824517,6.51978964271553,6.3946127005902
"Baiap2",7.40947892861236,7.94501603312413,7.97975297181413,8.73839469316226,7.66814391516072,7.83399974728324,9.08249527291435,9.63120626766646
"Slco3a1",6.12928258203119,7.37560796451873,9.75859891065349,10.1958033654367,6.40990430580994,6.55202542135146,9.17894452417672,10.1281391754695
"Atic",8.61884630770936,9.05353776042258,7.99716897827544,7.97908727908549,9.04286802146715,8.77992598558299,7.96896164468495,6.71297666836718
"Galnt7",7.92340706592761,7.52650478755427,7.07758269086564,6.97255905720114,7.92669539218619,7.98839414346326,6.55701364952177,7.04868462170287
"Mthfd1",6.17795906799323,5.9182749063093,4.64717495659666,4.37700004408153,6.2883966383721,5.36499699109432,4.21227838177902,4.35033395990726
"Epsti1",8.34728320918801,8.59847988814925,9.94803675989719,9.56597260192675,8.55817260694843,8.4808627238612,10.044395384481,10.1886925448799
"Dnajc9",7.84837117422202,8.22694939850306,6.29835608433009,5.98022281193762,9.0085679255774,7.15245448698576,6.78539270895007,6.78829264955692
"Ccdc86",7.48666943128459,7.52981288717285,8.55931726043434,8.10725317927532,7.60695593644467,6.72842663071279,8.4568910106955,8.2710776131493
"Mex3b",6.02998304498367,6.34636013139037,3.01963424765038,3.13506031002903,5.44375451443959,6.56119671605577,3.6373320533187,3.1528709525964
"Nusap1",8.32939776107023,9.23487546808557,5.79932588483667,5.39151031679829,9.69717842845628,8.24155083797304,5.73338747124751,5.31461637948988
"Cdca2",5.87745955453186,6.78886543999413,5.87600351400759,5.45703318658029,7.23820017107008,6.61295991208927,5.42025419019304,5.63793359060568
"Ppp1r15b",8.14466692363072,8.44861586792942,9.51237989071021,9.80522278759284,8.09387466280935,8.97228581897085,9.64874488588971,10.358841289134
"Irak2",8.16155327816981,8.4941338782573,10.0681815792456,10.1955743762868,8.11168725688474,8.88506507748032,9.65054156121606,10.0763877353706
"E2f8",7.52040401321803,9.1559628672098,5.84194788030161,6.74502829757832,9.394466796913,8.2650575155639,6.52052104553697,7.99187319623144
"Tpr",9.96490354741401,9.89263025443621,9.95455580779974,8.97108369021524,10.0410588434819,9.22793312292344,9.0281889540828,7.93478179536481
"Sp110",8.32696365206747,8.36797784746488,9.73429566790676,9.64035082816015,8.10642076378283,8.5016226371334,9.45197063384077,9.87534972564743
"Mlec",10.1784729166052,10.0936444526838,9.25635651534284,9.3729929841239,9.83682911024274,10.097240683552,8.82837189747733,8.28862820266279
"Pimreg",6.10815103918,6.66803031463388,4.92327370307291,4.88962964769062,6.52129253834421,5.95079637724451,4.0886032892655,4.06217509846248
"Sccpdh",7.09975965554811,6.12323140772402,5.69429363824838,5.40449541130161,6.65098401012824,5.71229178008603,5.75550367037754,3.66038616388553
"Kif24",5.98627406131416,6.13418536220382,5.16141324563729,4.94480756181106,6.46221205944568,5.86565229194512,5.33686412610382,5.55434464159631
"Actn1",9.48281914056377,8.96144450994621,7.78272441244687,7.57075232199974,9.62525834350949,8.41613031828272,7.29645567659017,6.66097599915425
"Glo1",8.07211930074615,8.10992731543529,7.07033240146556,7.04730466498758,8.14730314714513,7.9133777821691,7.3770086029909,6.1947771260751
"Kif22",6.37517229301981,7.24169443084261,5.42268934425339,5.73795121640114,7.39861380808069,6.72628168664797,5.57537477501893,6.11754365728148
"Phka2",10.1009586430741,10.2769773893013,8.38532091759087,8.63074219555572,10.4206959733731,10.6884003796036,8.66740249144373,9.13476381345278
"Gpr18",5.54238812749706,5.48497225689371,8.22573269997207,8.77967991571641,5.57356793626656,5.01757509187029,9.83321519117028,7.29643784707242
"Manba",6.70281505913502,6.52357813808906,6.02308178426366,5.70136163368472,7.04515864013954,6.97518986210562,5.96761099190182,5.62068589010538
"Ggct",5.6101408759376,5.42321065067055,7.33830254965179,6.97800375085582,5.21544110647628,5.55704968728026,7.20487147634415,6.77874585545536
"Fdps",7.33022922382845,8.20990593587386,6.33709752570999,6.28693739403113,6.81158300277115,7.69233327448236,6.17361131078807,6.33181553861249
"Dgkg",5.09248725915896,6.8506450982698,4.42673976542929,5.40405348860922,5.86762137668018,7.87755718074057,5.00031315526408,5.27224881205182
"Akr7a5",6.28219505907502,5.90358595470678,5.75868717580065,5.20603768456183,6.47114458679071,5.96890124638461,5.2294398113627,4.36802047950904
"Msra",9.64347867226615,9.48272699192396,8.32401725192486,8.11482052197847,10.1507843647091,9.21724832516712,8.72715867032756,8.31234411724744
"Qdpr",8.96449652821902,8.71531786907852,7.86458501900968,7.59105796679988,8.56287765535711,8.69183403522666,7.70960129880325,6.89994667067631
"Acat1",8.94580212298394,8.96300109026041,7.98527882950046,7.59312601327147,8.78611816644444,8.45338488096796,7.92835701218226,7.6589520103945
"Ly6a",8.98547398103679,10.4571687875106,11.9443488138427,11.9945868005048,11.4465138095976,10.6981859246564,12.2684286368632,12.3995023570471
"Fntb",5.29489660448516,6.41219254158088,5.26558269808666,5.67762420336956,6.43931037964925,6.07526212920372,5.26551619661296,5.03137905303015
"Atxn3",8.92143519259641,8.86013683305286,8.25426878033975,8.11815995585911,8.84433768241171,8.92733478654436,8.16445970013749,7.56310311741559
"Prps2",7.94718939702449,8.64134245964282,6.79761044397204,7.38866359391082,8.6304104804253,8.56816827237068,7.58602688439568,7.01459539692136
"Chaf1b",7.27337466108618,7.95742501594563,6.10006129447563,6.40822626701541,8.64830618475472,7.20600910878628,6.84967578675805,7.42882649963759
"Cse1l",8.8163288315898,8.6425762553194,8.10071398324855,7.68237412814799,9.1239705381306,7.88570761750892,7.56379820016203,6.74005841568204
"Pwp2",7.28033474537127,7.2654276015835,6.46747701292635,6.33978979957124,7.4222810265532,6.72210549956056,6.19291502603249,5.7425208178222
"D17H6S56E-5",10.7413459721086,11.4129322903816,8.16859208060322,8.16265122160515,11.709575868245,10.8641808283943,8.16386689953129,8.08994670428063
"Egln3",7.0516555356579,7.34211448377859,9.36752252296876,9.05049417191209,9.17025588674091,8.67081775917763,10.2770019651817,9.19843275985848
"Ifit1bl2",3.42169465853317,2.72805904882704,7.08259131444104,7.31726496866937,3.14886400447069,2.97639707735886,6.12683361458348,7.13345050144976
"Acp2",7.98553929034672,7.15973242180987,9.14057247525914,9.43111128100605,7.71654742866618,7.92547903347365,9.56169184860543,9.47751014286494
"Acp5",7.41896045012519,7.0458638271411,9.36670461219669,8.95590333280652,7.39451081007732,7.09855929003964,9.86184181370306,9.72254489952207
"Zbtb21",6.24102601787601,5.77605674511588,6.78680713854488,6.82763186717308,5.78200256165812,6.08897402577426,6.87414726629537,7.23463667265024
"Oas1c",5.93574931344135,6.0841650985021,7.67173496554525,7.14247304708826,6.13131629910032,6.28696091715198,7.28138479833417,7.63102504718979
"Slc13a3",6.02432332029097,6.45989290514868,7.52070831926697,8.34140455748965,6.67736431195198,6.19941011541175,8.39916443930107,7.9826075907974
"Impa2",7.07363490721473,7.75699386419486,6.72381626793247,7.2769139502776,8.01091735216299,7.73574819512422,6.74517737091579,6.770482458266
"Gtf2ird2",4.59278268563019,5.22813962836406,4.01561761400894,3.86183368767549,4.69897977244251,5.09292480094172,3.67482937137583,3.57514724926439
"Selenom",7.99403060286272,8.25445439826052,8.80015013875764,8.80708803816201,8.71073433936183,8.19511799616888,9.57224150034831,9.76630208621147
"Rad51c",6.30492292229481,6.47155026388199,4.9575917616454,5.0203500720017,7.23900873792311,6.3186290449081,5.40658639385545,5.43050492454809
"Supt16",8.64284552870268,8.75125083803607,8.09330672659132,8.08168511009164,9.11774028728366,8.53342903475639,8.02813715207298,6.78909247746958
"Acta2",5.73998410662749,5.85891900778896,6.31367890804208,6.49146511895304,6.09933508162436,6.06536442377343,7.48975492198543,6.8649116840865
"Adcy7",9.08252276589621,8.88925510129052,8.34046531662651,8.48083907978448,8.87681738873192,9.58551924996287,8.18128819219687,8.20750386252227
"Adk",7.5824474413447,8.37550352552428,6.96607633919204,7.25536181758216,8.41609112135712,8.14443501325202,7.29995658576243,6.96449816831539
"Adm",3.86264364252086,3.1515964357954,3.85517713539047,3.75752391908765,3.39512351305786,3.17621132462605,4.91152424285182,3.93958765364233
"Adora2a",5.50889919026728,6.26130017348881,8.5820124791448,8.10532678797588,5.25931523871729,5.39345653486454,8.03157590077677,8.06486014420304
"Adora2b",6.37049921591888,6.71230207959011,8.9540313773616,8.82491452619409,7.16828273493152,7.24198109785335,9.55343054395716,8.99091726312835
"Adra1a",7.06343799896127,6.86005976968523,8.44029194150844,8.6113991598394,6.59684622247361,6.92739416326068,8.44604544209102,9.3088092686687
"Adrb2",8.86821791453884,9.59413990921908,7.65871339209211,7.41718591654647,8.76640924701249,9.54025371816365,7.70881526225365,6.80549248377819
"Adss",9.17545180915409,9.0226557130802,8.51233682726227,8.38186217933505,10.0434575727923,9.57514733481901,7.89496902698764,8.15456531893314
"Agrn",6.19270913366092,6.02852047338629,7.54544553260272,7.11274859644224,6.65301448968175,6.48114611466681,7.47750184372037,7.02808992063429
"Agtrap",8.15412697357401,8.3837938986391,9.78372557439223,9.78847948395656,8.31544647998519,8.47996518696602,9.91500305458325,9.76443957689118
"Ak4",5.7909687259045,6.37491916750099,7.65589140785936,7.74025548898822,7.23022720030714,6.09987620444454,8.41997880949466,6.37668008959778
"Akap1",6.47764218722232,6.09268841689085,5.14986692488761,4.85566124506121,6.30918032218554,5.68731184492419,5.74868099915155,4.502479905456
"Aldoc",9.07835805833643,10.2601412481542,8.7381156768473,9.0844730068066,9.69072837145645,10.1579247030383,8.49417812991994,8.43118464372794
"Alox5",5.8774051967264,8.1790748865766,5.39921283734421,5.0921169605398,6.4643878653867,7.81157103000025,4.857265939469,4.91703289865741
"Ivns1abp",8.51550090815917,8.65859271004311,6.3909907355946,6.98935534141401,8.71481896157351,8.30798259488297,6.63209249772871,6.215359902019
"Slc25a4",10.6755533700469,10.6321127285059,10.0917538575745,10.3372671055208,11.0124414254495,10.6166649429619,9.98451442499281,9.50180453804172
"Anxa3",9.3972814632327,9.66168654997201,8.12614811815696,8.40418634719302,8.79718809557667,9.88033982919492,8.03903778299819,8.39973242800892
"Prdx6",7.30073515421328,7.22675526307422,8.68812097004004,8.94123766371391,7.5171716041142,7.97211681101138,9.2585261525272,9.22948205435837
"Ap1b1",9.7075128161292,9.35510380611033,8.21837307567528,8.15252106722039,9.46589764244769,8.98034710752713,8.31197053442512,8.1855406912025
"Fabp4",9.04885212763705,7.32476420300396,9.04000858017662,8.22786620414083,7.04886638530071,8.75074074504248,10.0432794839096,9.98372732694017
"Birc3",10.1803486386124,10.1807163066511,12.0203690349854,12.1975113200327,9.83337451755914,10.4723194128681,11.7945459948585,11.6741993816553
"Birc5",8.78941403113252,8.8460615561831,6.81955910409453,6.44291846222305,9.83090804543165,8.09962749844135,6.5717400430784,7.253023612151
"Cd5l",10.2567449474531,10.04598680656,8.4316381113689,7.6338762719803,10.1236894622673,12.0357271040202,10.185400592125,11.2217733178439
"Aplp2",9.93662003934561,9.97293316586377,8.69432429740469,8.77851358918841,9.44865285579159,9.98116988918758,8.66036005758173,8.52937506565891
"Arg1",4.09019144296091,3.49257785825992,6.30175772950926,6.0158314973437,3.87658354308194,3.60514086492123,9.08415357456945,4.51001082433429
"Arg2",3.93822984339714,3.76043755376744,6.71966280099098,6.41116146399797,3.83459297164985,3.53492237871322,7.27132852188004,5.90349163192673
"Arhgap6",10.1729506349811,9.18872789411859,8.0051475062348,7.41646863811047,10.0627585451692,10.5935806825588,8.74822817592553,8.44932487887989
"Arsb",8.37452399602242,9.32221812072503,7.80104881775903,8.25660443962883,9.25182013120367,9.02383324217957,7.48293055094659,7.83694106275687
"Atf3",10.2244385896277,10.2555067961844,11.246127408967,11.2980948016074,9.99390124187411,10.7349613996829,11.2302624152147,11.9420866029939
"Atm",5.29236962511341,5.73992622696754,4.74421019539415,4.63631499477746,5.70549603919685,4.95753493652717,4.66518970724627,3.62178583659213
"Atp1a1",10.416004840414,10.4060760123249,9.67075440574135,9.79260228865599,10.6224343431549,10.4932631408721,9.63118171626064,9.10443845243498
"Fxyd2",8.02044439135654,7.52185691802248,6.41952375526554,6.10140097402203,7.50728429282008,7.49081431677815,6.75855940909788,6.26315321315598
"Atp6v0a1",10.9658250746127,10.9347262874302,9.32628322533812,9.61610187193098,10.3359958605632,10.9365972913778,8.68064335203725,9.42470117827894
"Atp7a",7.98663589357244,7.21537138684918,8.92358373460335,8.60562173217028,7.70652910812892,8.18787219099253,8.93151288485237,8.99015889477248
"Atpif1",11.395181863296,11.2395065688019,10.4602092501797,10.1171204941033,11.6315633866626,11.0398898096442,10.4171987746221,10.2860745658155
"Slc7a1",6.63114297319375,7.32700978847122,6.9454243628024,7.10579722992487,7.06739403923888,7.57019966044851,6.07858974453387,5.86576388858799
"Slc7a2",4.65391440621909,4.60220001285223,10.8943687652677,11.4584198088661,4.30631878453304,4.53687546178553,10.7804762336919,8.49464992138708
"Atrn",7.80660398310256,7.64804476709447,7.1998366401708,7.20900245077571,8.03151802095507,7.51714802072653,7.42086864875291,6.06039788689003
"Bard1",5.76878290491401,6.2196647678291,4.7435174361816,4.89436509860564,6.65731682753301,5.33880390086176,5.1167639099242,5.62644326643123
"Bcap29",8.8012141217997,8.17352558079796,7.86120507375092,7.81590096932217,8.66047384389224,8.39682876165954,7.85638675325385,6.25042200624314
"Bcl2",7.81436741783375,8.79763388368543,6.9570366257261,7.57658295353811,7.9116785428543,9.71852842162864,6.4705891780204,7.35591628642215
"Bcl2a1a",6.35059130855481,4.76229014710104,9.03683739053688,8.55824290666257,4.51088105055382,4.92625474033498,7.78568719962569,6.64906143863567
"Bcl2a1c",3.82189435575229,3.23965478190059,5.19408949156352,5.36003373563512,3.58823758719626,3.40732201942245,3.8314167154207,3.83786886391149
"Bcl2a1d",5.99220873400119,4.48059162573072,8.38635884926483,8.12405478614746,3.88194669942241,4.40598888722315,7.54329124892191,6.22478972440621
"Bcl3",8.49889002090948,8.50976876048462,10.374556547345,11.0415210281443,7.47403424546601,9.0225538608104,10.3137940576418,11.1584130638717
"Bcl6",8.55130798132802,8.51105369126457,9.75613517199642,9.25423409446528,8.4203613523595,8.97551650155232,9.91380142676146,9.85097100197916
"Bex3",9.19681784392932,8.94235386366504,7.90362044482082,7.89200105665679,9.31151089503151,8.96166245241495,7.39968829854246,8.11833253541277
"Fabp7",7.79455485986679,6.17977679297072,10.1673064704943,8.9959499677793,7.3988682578677,8.11170967515523,10.3593720254066,9.19148917405043
"Blm",6.89518110210395,7.03505129897315,5.17860065837018,5.26092649793578,7.89252006722973,6.96659853445168,6.56465439909642,6.56258961874393
"Bnip3",8.46903639857532,8.67803256911365,9.81599021613451,10.0684407405227,9.81506016729881,8.91421885396362,10.6288190287465,9.84666184580646
"Bst1",8.41317622158635,9.13773768672913,11.9456810647376,11.9956444657966,9.62420517859354,10.0937723640523,12.2974323926519,12.006673399425
"Brca1",6.26395999605893,7.17763065044124,5.54413979124059,5.94125080947163,8.64798476073899,6.52126891635737,5.68765518841257,6.0533699954252
"Brca2",7.29289835915814,6.97011340986493,4.85753770340255,4.67627814552946,8.22198806368489,6.52101866058148,5.39168635102314,5.30039841793715
"Zfp36l1",11.3600197728684,11.2364900244998,9.78502198141497,9.37491654270911,11.1636901963558,11.5980111642961,10.6781847952687,10.5395591671842
"Bub1",7.49317440693939,8.79498051051915,4.23509732012954,4.35715719476488,8.88077039548001,7.57383513100477,4.53539449335318,4.26209539050913
"Bub1b",6.4674714595277,7.73166832936514,4.43501542246896,4.2088782902554,8.08608179631795,6.80740913340018,4.15512710152599,4.00233456166115
"Tspo",9.42451632634842,9.74232629601375,11.0846509620944,11.0709162308377,9.49252589045891,9.83446829496027,11.1339138851975,11.4103800303138
"C1qa",11.6379016713833,10.9332412055191,10.0928699545254,9.95222337506907,11.2410755780949,10.2671261087244,10.4218917656002,10.2060394367335
"C1qbp",10.2158451414689,9.46161362095312,8.72467233026414,8.3421074636202,10.1735718245985,9.65883550933012,8.48544117036062,7.69411595861545
"C1qc",11.8298089786486,11.3159887610925,10.5077282052572,10.3674904202821,11.4259699049459,11.2722562679649,10.4149742875307,10.5497263273333
"C3",8.20216226623359,7.16021744479117,11.3968503879119,11.2814599649349,7.4854182711851,7.30406228377077,11.0971210162238,11.1073961226472
"Cacna1a",6.71659976137911,7.11401728475571,5.9136326677704,5.80086049212544,6.16966632643152,6.35558710998327,5.15745432902967,5.60095638143785
"Cacna1d",6.7847292114887,6.00924287153835,7.29101550928774,7.01879442687264,5.99654043461305,6.65616141030105,7.89743661540547,7.88042478636356
"Cacnb1",6.17046144761831,6.40799241672917,7.62163781248706,7.48042393164573,5.90560372652079,7.07926137002169,7.66595260118796,8.00604759927724
